"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Application","Application_specific","Mode","Tribopositive","Tribonegative","Electrode","Open_circuit_voltage","Short_circuit_current","Power_density","Current_density","Charge_density","Thickness","Area","Operating_frequency"
"Nan Meng","2024/02/14","Monolithic Conjugated Microporous Polymer Aerogel for Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202313534","10.1002/adfm.202313534","sensor","","contact-separation","","polydimethylsiloxane","copper","72 V","3.2 µA","","","","tribonegative layer 80 µm ","94 m2","0.5 Hz"
"Kebena Gebeyehu Motora","2024/01/30","Waste-to-Energy: Development of a Highly Efficient Keratin Enhanced Chitosan Bio-Waste-Derived Triboelectric Nanogenerator for Energy Harvesting and Real Applications","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202315069","10.1002/adfm.202315069","energy harvester","use of energy from motion","contact-separation","keratin","","copper","322 V","","14.4 W m−2","","","","","103 Hz"
"Cong Li","2024/03/17","Molecular Doped Biodegradable Triboelectric Nanogenerator with Optimal Output Performance","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202400277","10.1002/adfm.202400277","","","contact-separation","cellulose","","carbon","2.85 V","","","","","","","0.33 Hz"
"Chun Jin","2024/04/08","A Superhuman Sensing Triboelectric Nanogenerator with Boosted Power Density and Durability via a Bio-Inspired Janus Structure","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202402233","10.1002/adfm.202402233","sensor","tactile/motion sensor","contact-separation","human skin","","CNT","143 V","6.7 µA","129.4 mW m−2","","","","","3 Hz"
"M. Robiul Islam","2024/05/19","Poly-DADMAC Functionalized Polyethylene Oxide Composite Nanofibrous Mat as Highly Positive Material for Triboelectric Nanogenerators and Self-Powered Pressure Sensors","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202403899","10.1002/adfm.202403899","sensor","tactile/motion sensor","contact-separation","","PVDF","","938 V","","5.6 W m−2","","","","","4 Hz"
"Mandar Vasant Paranjape","2024/06/03","Phosphor-Loaded Triboelectric Film-Based Multipurpose Triboelectric Nanogenerators for Highly-Efficient Energy Harvesting, Sensing, and Self-Illumination Applications","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202405838","10.1002/adfm.202405838","energy harvester","use of energy from water/fluid","contact-separation","","PDMS","ITO","","","2.1 W m−2","","","","5×5 cm2","7 Hz"
"Chunjin Chen","2024/07/16","One Meter Triboelectric Nanogenerator for Efficient Harvesting of Meter-Scale Wave Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202406775","10.1002/adfm.202406775","energy harvester","use of energy from water/fluid","contact-separation","","","","638 V","400 µA","28.9 W m−3","","","","","0.5 Hz"
"Xi Liang","2024/08/02","Triboelectric Nanogenerators Using Recycled Disposable Medical Masks for Water Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202409422","10.1002/adfm.202409422","energy harvester","use of energy from water/fluid","","","","copper","366.82 V","39.52 µA","0.836 W m−2","","","","","1.0 Hz"
"Moh Terng Sim","2024/08/09","Instant Disinfecting Face Masks Utilizing Electroporation Powered by Respiration-Driven Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202410062","10.1002/adfm.202410062","","","","","PVDF","copper","250 V","2.94 µA","","","","","","0.33 Hz"
"Vaishna Priya Kallupadi","2024/09/02","Modulating Contact Electrification With Metal-Organic Frameworks in Flexible Triboelectric Nanogenerators for Kinetic Energy Harvesting and Self-Powered Humidity Sensing Applications","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202411855","10.1002/adfm.202411855","energy harvester","use of energy from motion","contact-separation","","PVDF","","35 V","","18.37 mW m−2","","","","1090 m2",""
"Liang Gao","2024/10/30","Multilayer Bionic Tunable Strain Sensor with Mutually Non-Interfering Conductive Networks for Machine Learning-Assisted Gesture Recognition","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202416911","10.1002/adfm.202416911","sensor","tactile/motion sensor","single-electrode","","PDMS","","135.4 V","1.25 µA","","","","","","5 Hz"
"Mengjia Guo","2025/01/21","Wearable Pressure Sensor Based on Triboelectric Nanogenerator for Information Encoding, Gesture Recognition, and Wireless Real-Time Robot Control","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202419209","10.1002/adfm.202419209","sensor","tactile/motion sensor","contact-separation","","PDMS","copper","10.5 V","","","","","","",""
"Chengwen Wang","2024/12/23","Self-Healing Hydrogel-Based Triboelectric Nanogenerator in Smart Glove System for Integrated Drone Safety Protection and Motion Control","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202419809","10.1002/adfm.202419809","sensor","tactile/motion sensor","contact-separation","","","Al","152 V","1.6 µA","3.48 µW m−2","","","","",""
"Jae Uk Yoon","2025/01/16","Creating Smart Washable Flooring: Sandwich-Style Single-Electrode Triboelectric Nanogenerator with Barium Titanate and Graphite-Fluorinated Polymer-Infused Ecoflex Hybrid Composites for Enhanced Safety and Security","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202421977","10.1002/adfm.202421977","sensor","tactile/motion sensor","single-electrode","human skin","","aluminum","1000 V","25 µA","","","","","","7 Hz"
"Hyunwoo Cho","2025/03/20","Autonomous Tilt Sensing System Utilizing Optimized Fabrication-Enhanced Nanocomposite Triboelectric Nanogenerator for Full-Spherical Coverage","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202422259","10.1002/adfm.202422259","sensor","tactile/motion sensor","freestanding","","polytetrafluoroethylene","Ag","391.82 V","91.87 µA","20.39 W m−2","","","","10 cm2","1 Hz"
"Xiao Sun","2025/01/28","Regulating Contact Electrification and Charge Retention Capability With Metal–Organic Frameworks in Triboelectric Nanogenerator for Self-Powered Sewage Treatment","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202422803","10.1002/adfm.202422803","sensor","tactile/motion sensor","","silk","PVDF","Cu","1205.67 V","54.12 µA","","","361.43 µC m−2","","12 mm × 2 mm","5 Hz"
"Kyunghwan Cha","2025/05/08","Improving Electrical Performance and Lifespan of Liquid-Based Triboelectric Nanogenerator via Charge-Inducing Structure","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202505695","10.1002/adfm.202505695","","","freestanding","nylon","polyvinyl chloride","aluminum","123 V","","","","","","",""
"Yibing Xie","2025/06/25","Bioinspired Self-Standing and Self-encapsulated Dome Architectured Triboelectric Nanogenerators with Exceptional Stability and Durability","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202505747","10.1002/adfm.202505747","sensor","tactile/motion sensor","","","PDMS","stainless steel","263 V","","107.7 mW m−2","","","","","1.5 Hz"
"Ruoshui Liu","2025/04/17","Synchronous In-Situ Self-Powered Monitoring Method for Speed and Skidding of High-Speed Bearing Based on Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202505831","10.1002/adfm.202505831","sensor","tactile/motion sensor","contact-separation","nylon","FEP","copper","","","","","","electrode 35 µm ","",""
"Xibei Jia","2025/06/23","CaTiO3/ZnO-PVDF Composite-Based Triboelectric Nanogenerators for Self-Powered Gait Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202507124","10.1002/adfm.202507124","sensor","","contact-separation","","","Cu","93.4 V","","","24.4 mA m−2","","","",""
"Liang Tuo","2025/06/26","A Geometric Thrust Amplifier Based Triboelectric Nanogenerator for Full-Spectrum Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202507697","10.1002/adfm.202507697","energy harvester","use of energy from motion","contact-separation","nylon","","","488 V","217 µA","15.18 W m−3","","","","1.7 cm2","2 Hz"
"Rihan Da","2025/07/28","Biokinetic-Driven Triboelectric Nanogenerator for Cursorial Energy Harvesting and Constructing Self-Powered Virtual Grazing System","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202512369","10.1002/adfm.202512369","energy harvester","use of energy from motion","single-electrode","POM","FEP","","10.125 kV","","","","","","","50 Hz"
"Song Xiao","2025/08/24","Tubular Oil–Solid Triboelectric Nanogenerator Adopted for Self-Powered Impurities Monitoring of Insulating Oil Flow","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202512466","10.1002/adfm.202512466","sensor","tactile/motion sensor","","cellulose","PDMS","gold","62.31 mV","","","","","tribonegative layer 50 µm ","","1000 Hz"
"Bai Li","2025/07/30","Negative-Damping-Induced Triboelectric Nanogenerators for Zero-Power-Consumption Bridge In Situ Dynamical Monitoring","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202513898","10.1002/adfm.202513898","sensor","tactile/motion sensor","contact-separation","nylon","FEP","","","","","","","","","5 Hz"
"Xiangkun Bo","2025/07/21","Electron Compensation Enhanced Triboelectric Sensor Assisted by Machine Learning for Tactile Perception Recognition","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202514567","10.1002/adfm.202514567","sensor","tactile/motion sensor","contact-separation","","","Al","258 V","28 µA","24.5 W m−2","","0.270 mC m−2","","",""
"Yijun Hao","2025/09/10","“Running Toward a Greener Future”: Lysine-Enhanced Triboelectric Nanogenerator for Efficient Foot-Motion Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202519250","10.1002/adfm.202519250","energy harvester","use of energy from motion","contact-separation","nylon","FEP","aluminum","1000 V","240 µA","0.405 W m−2","","","","","1 Hz"
"Gefan Yin","2025/09/25","A Single-Channel Tactile-Slip Triboelectric Nanogenerator for the Intelligent Performance Evaluation of Humanoid Robots","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202519384","10.1002/adfm.202519384","sensor","tactile/motion sensor","contact-separation","","silicone rubber","","0.7 V","","","","","","","45 Hz"
"Gokana Mohana Rani","2025/10/26","Next-Generation Flexible and Wearable Triboelectric Nanogenerator Based on PVDF-HFP@GCN Composite for Mechanical Energy Scavenging and Sleep Pattern Detection","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202519594","10.1002/adfm.202519594","sensor","tactile/motion sensor","","nylon","PVDF","ITO","25 V","0.5 µA","45 mW m−2","","","","","5 Hz"
"Huiru Zhao","2025/10/28","A High-Performance Integrated Solar-Driven Evaporator-Triboelectric Nanogenerator Hybrid System for Simultaneous Water and Electricity Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202522614","10.1002/adfm.202522614","energy harvester","use of energy from water/fluid","","","PVDF","zinc","19.99 V","997.94 nA","","","","","",""
"Zhengyin Duan","2025/10/24","A Fully Degradable and Enclosed Triboelectric Nanogenerator Based on Spent Coffee Grounds Triboelectric Material","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202523277","10.1002/adfm.202523277","energy harvester","use of energy from wind","contact-separation","cellulose","","copper","30 V","105 nA","","","","","","2.6 Hz"
"Changmei Lin","2025/11/03","Cotton Textile Based Triboelectric Nanogenerator with High Environmentally Stability and Output Performance for Human Motion Monitor and Intelligent Counter System","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202524669","10.1002/adfm.202524669","sensor","tactile/motion sensor","","aluminum","fluorinated ethylene propylene","","141.0 V","5.2 µA","117.1 mW·m−2","","17.6 µC m−2","","","100 Hz"
"Kun Zhao","2025/12/04","Layer-Engineered Hybrid MoS2 Nanosheets for Synergistic Charge Trapping and Superlubrication toward High-Output Ultra-Durable Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202524763","10.1002/adfm.202524763","sensor","","contact-separation","","","Al","4.373 V","0.426 µA","","","","","",""
"Jun Chen","2013/09/03","Harmonic-Resonator-Based Triboelectric Nanogenerator as a Sustainable Power Source and a Self-Powered Active Vibration Sensor","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201302397","10.1002/adma.201302397","sensor","tactile/motion sensor","","aluminum","","aluminum","287.4 V","76.8 μA","","","","","","13.4 Hz"
"Ya Yang","2013/10/25","A Single-Electrode Based Triboelectric Nanogenerator as Self-Powered Tracking System","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201302453","10.1002/adma.201302453","sensor","tactile/motion sensor","contact-separation","","polytetrafluoroethylene","aluminum","1.1 V","","","","","","",""
"Sihong Wang","2014/01/21","Freestanding Triboelectric-Layer-Based Nanogenerators for Harvesting Energy from a Moving Object or Human Motion in Contact and Non-contact Modes","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201305303","10.1002/adma.201305303","energy harvester","use of energy from motion","freestanding","nylon","FEP","copper","216 kV","","6.7 W/m2","3.5 mA/m2","65 μC/m2","tribonegative layer 50 μm ","",""
"Keun Young Lee","2014/05/22","Hydrophobic Sponge Structure-Based Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201401184","10.1002/adma.201401184","energy harvester","use of energy from water/fluid","","aluminum","PDMS","Al","130 V","","","","","","1 cm × 1 cm",""
"Yannan Xie","2014/08/25","Grating-Structured Freestanding Triboelectric-Layer Nanogenerator for Harvesting Mechanical Energy at 85% Total Conversion Efficiency","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201402428","10.1002/adma.201402428","energy harvester","use of energy from motion","freestanding","","FEP","aluminum","135 V","","1.2 W/m2","9 mA/m2","640 μC/m2","","38.4 cm2",""
"Mehmet Kanik","2015/02/26","A Motion- and Sound-Activated, 3D-Printed, Chalcogenide-Based Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201405944","10.1002/adma.201405944","energy harvester","use of energy from sound","contact-separation","","","aluminum","1 kV","","5.47 mW m−2","","","","","10 Hz"
"Jie Wang","2015/07/14","A Flexible Fiber-Based Supercapacitor–Triboelectric-Nanogenerator Power System for Wearable Electronics","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201501934","10.1002/adma.201501934","energy harvester","use of energy from motion","freestanding","","","carbon fiber","18 V","","","4 mA cm−2","","","","20 Hz"
"Yanhao Yu","2015/07/15","Sequential Infiltration Synthesis of Doped Polymer Films with Tunable Electrical Properties for Efficient Triboelectric Nanogenerator Development","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201502546","10.1002/adma.201502546","energy harvester","","","aluminum","polytetrafluoroethylene","copper","3.1 V","","","","","","","10 Hz"
"Lei Zhang","2015/12/15","Lawn Structured Triboelectric Nanogenerators for Scavenging Sweeping Wind Energy on Rooftops","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201504462","10.1002/adma.201504462","energy harvester","use of energy from wind","contact-separation","","","ITO","98 V","25 An","","","","","300 m2","154 Hz"
"Long-Biao Huang","2016/02/03","Magnetic-Assisted Noncontact Triboelectric Nanogenerator Converting Mechanical Energy into Electricity and Light Emissions","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201505839","10.1002/adma.201505839","energy harvester","use of energy from motion","contact-separation","","PDMS","ITO","325 V","9.2 μA","","","","","","10 Hz"
"Xin Zheng","2016/05/04","Self-Powered Electrochemistry for the Oxidation of Organic Molecules by a Cross-Linked Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201600133","10.1002/adma.201600133","sensor","tactile/motion sensor","","","Kapton","Cu","845.6 V","69.9 μA","1.59 W m−2","","","tribonegative layer 110 μm ","","2.08 Hz"
